,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Slc17a4,0.9706,0.02939999999999998,3.4969194327933892,1.3902637e-05,3.0917563e-06,0.0,0.25,3.7293274,3.933989,5.186275,-17.470272,18.338562,0.13338251,0.020720731,0.0547492191805987,0.010630630630630626,0.08106294,0.011592391,True,WT vs Fezf2_KO,WT,Fezf2_KO
Pklr,0.966,0.03400000000000003,3.3468030258307184,8.923139e-06,2.1286648e-06,0.0,0.25,3.0326166,3.1696024,3.6333225,-10.266597,12.883321,0.08102169,0.011891892,0.05089105272827466,0.007387387387387384,0.05211325,0.006824767,True,WT vs Fezf2_KO,WT,Fezf2_KO
Gm14275,0.967,0.03300000000000003,3.377690641297818,9.369629e-05,2.066565e-05,0.0,0.25,2.970274,2.9795923,3.688235,-7.8103886,11.802127,1.8261925,0.2891896,0.276869373507258,0.08684684684684642,0.9222076,0.13090467,True,WT vs Fezf2_KO,WT,Fezf2_KO
1810006J02Rik,0.963,0.03700000000000003,3.2591352392678825,4.8923997e-05,1.0249554e-05,0.0,0.25,2.6852558,2.752325,3.4240448,-7.274873,14.249717,0.90188974,0.09171171,0.16259415763365628,0.034234234234234336,0.529428,0.046973877,True,WT vs Fezf2_KO,WT,Fezf2_KO
Myh15,0.9594,0.04059999999999997,3.16253978657807,1.8868155e-05,5.2104224e-06,0.0,0.25,2.660038,2.7042036,4.6947584,-14.214665,20.548317,0.22193626,0.027207214,0.07165166268601829,0.009729729729729726,0.13089888,0.01693837,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ccn3,0.9542,0.04579999999999995,3.036588994101264,3.447213e-05,1.2398293e-05,0.0,0.25,2.534301,2.4201207,3.5038402,-7.80575,11.59381,0.20503397,0.047567584,0.058974830056953594,0.017657657657657668,0.12884827,0.024977759,True,WT vs Fezf2_KO,WT,Fezf2_KO
Ptprn,0.9588,0.041200000000000014,3.1472440139160347,1.3483303e-05,3.841263e-06,0.0,0.25,2.472897,2.6220665,2.805712,-6.320075,9.76478,0.12070579,0.029009052,0.060628329965092466,0.02090090090090094,0.070164815,0.014393415,True,WT vs Fezf2_KO,WT,Fezf2_KO
Car8,0.9606,0.03939999999999999,3.1937920295299222,8.5181215e-05,1.8146211e-05,0.0,0.25,2.4618716,2.5737572,3.647019,-12.420648,14.115467,2.0406013,0.33441457,0.10012860554840998,0.019459459459459486,1.4324635,0.21804158,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sdr16c6,0.959,0.041000000000000036,3.152318774704249,3.25323e-05,1.1156261e-05,0.0,0.25,2.407773,2.5045576,3.9981165,-14.905239,15.234538,0.30626494,0.11621615,0.05033988609222837,0.03261261261261273,0.19148426,0.061882157,True,WT vs Fezf2_KO,WT,Fezf2_KO
Spock3,0.9568,0.043200000000000016,3.0977536669163523,0.0002766868,6.8984446e-05,0.0,0.25,2.3282452,2.4238586,3.2178438,-9.137993,11.494658,5.8225293,0.7985607,0.47878008451224635,0.1144144144144137,3.4207304,0.4315936,True,WT vs Fezf2_KO,WT,Fezf2_KO
Csrnp3,0.9532,0.04679999999999995,3.0139413391167738,2.6589107e-05,5.6689273e-06,0.0,0.25,2.265307,2.2841072,1.6022745,-5.1084223,8.147915,0.3251884,0.032432456,0.16645232408598032,0.020360360360360395,0.1902681,0.01759696,True,WT vs Fezf2_KO,WT,Fezf2_KO
Nefh,0.962,0.038000000000000034,3.23142803817647,2.3160983e-05,7.5274556e-06,0.0,0.25,2.2202654,2.2752323,3.9333262,-9.251498,13.366261,0.24545258,0.06504507,0.052728274848428965,0.017297297297297305,0.12770225,0.031288333,True,WT vs Fezf2_KO,WT,Fezf2_KO
Tenm1,0.9542,0.04579999999999995,3.036588994101264,3.1514828e-05,9.743877e-06,0.0,0.25,2.2183034,2.3240418,3.3468318,-7.7055025,12.055104,0.49108976,0.11279276,0.08028660665074351,0.02774774774774785,0.29600883,0.051081363,True,WT vs Fezf2_KO,WT,Fezf2_KO
Sh2d7,0.9536,0.0464,3.0229446320482345,3.6908325e-05,7.87689e-06,0.0,0.25,2.1912544,2.21173,3.3546183,-11.782478,16.92484,0.34558132,0.06594595,0.06375160756935479,0.013693693693693687,0.2835627,0.04653141,True,WT vs Fezf2_KO,WT,Fezf2_KO
Saa3,0.9586,0.04139999999999999,3.1421927747802774,0.00023021152,7.184647e-05,0.0,0.25,2.142486,2.035942,3.9363954,-9.689997,12.821657,10.077012,1.2210814,0.2741135403270261,0.07729729729729697,5.7043624,0.5878899,True,WT vs Fezf2_KO,WT,Fezf2_KO
Cntnap5c,0.9438,0.05620000000000003,2.820997355052179,1.8256995e-05,4.589297e-06,0.0,0.25,2.1381466,2.2900543,2.8328753,-10.42493,10.514713,0.19786872,0.036756765,0.051993386000367244,0.010630630630630626,0.11685426,0.018291108,True,WT vs Fezf2_KO,WT,Fezf2_KO
Fabp1,0.9518,0.04820000000000002,2.982995710668006,5.3700118e-05,1.3005304e-05,0.0,0.25,2.1310833,2.1369543,3.1421256,-10.065484,13.372905,1.1190505,0.22432439,0.0832261620429904,0.021441441441441486,0.61759907,0.105798304,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hoxc11,0.961,0.039000000000000035,3.204412516836249,1.749225e-05,5.1301627e-06,0.0,0.25,2.1189976,2.1502795,3.8153296,-9.929391,12.808254,0.19015251,0.016756758,0.07146794047400286,0.008648648648648645,0.111941926,0.009476798,True,WT vs Fezf2_KO,WT,Fezf2_KO
Abcc8,0.9476,0.0524,2.8950257006709337,3.032531e-05,9.239911e-06,0.0,0.25,2.1172316,2.181953,2.3395867,-5.4542913,9.468533,0.35660478,0.08378375,0.19345948925224857,0.05405405405405395,0.21305038,0.04289115,True,WT vs Fezf2_KO,WT,Fezf2_KO
